ilpn,ilpn_status,ASN,PO,SKU,qty,length,hieght,width,Current_location,Found_location,ASN_status
6.7701E+13,In transit,120045272,5038149,354887,15,0,0,0,Unknown,CUBIST,Receiving Started
6.7701E+13,In transit,120045272,5038151,354892,81,0,0,0,Unknown,CUBIST,Receiving Started
6.7701E+13,In transit,120045256,4038126,354819,88,0,0,0,Unknown,CUBIST,Receiving started
6.7701E+13,In transit,120045259,4038138,354861,75,0,0,0,Unknown,CUBIST,Receiving Started
6.7701E+13,In transit,120045235,4056796,10748226,81,0,0,0,Unknown,CUBIST,Receiving started
6.7701E+13,In transit,120045273,5038152,354894,68,0,0,0,Unknown,CUBIST,Receiving Started
6.7701E+13,In transit,120045270,5038143,354875,18,0,0,0,Unknown,CUBIST,Receiving Started
6.7701E+13,In transit,120045273,5038153,354897,62,0,0,0,Unknown,CUBIST,Receiving Started
6.7701E+13,In transit,120045255,4038123,354812,70,0,0,0,Unknown,CUBIST,Receiving started
6.7701E+13,In transit,120045271,5038144,354878,79,0,0,0,Unknown,CUBIST,Receiving Started
6.7701E+13,In transit,120045236,4038104,12741045,6,0,0,0,Unknown,CUBIST,Receiving started
6.7701E+13,In transit,120045232,4056765,10743938,27,0,0,0,Unknown,CUBIST,Receiving started
6.7701E+13,In transit,120045257,4038130,354836,15,0,0,0,Unknown,CUBIST,Receiving started
6.7701E+13,In transit,120045259,4038140,354866,47,0,0,0,Unknown,CUBIST,Receiving Started
6.7701E+13,In transit,120045259,4038138,354862,27,0,0,0,Unknown,CUBIST,Receiving Started
6.7701E+13,In transit,120045238,4038111,12741069,34,0,0,0,Unknown,CUBIST,Receiving started
6.7701E+13,In transit,120045236,4038104,12741045,24,0,0,0,Unknown,CUBIST,Receiving started
6.7701E+13,In transit,120045238,4038109,12741059,29,0,0,0,Unknown,CUBIST,Receiving started
6.7701E+13,In transit,120045258,4038135,354854,29,0,0,0,Unknown,CUBIST,Receiving started
6.7701E+13,In transit,120045272,5038149,354887,35,0,0,0,Unknown,CUBIST,Receiving Started
6.7701E+13,In transit,120045259,4038138,354862,42,0,0,0,Unknown,CUBIST,Receiving Started
6.7701E+13,In transit,120045235,4056796,10748226,60,0,0,0,Unknown,CUBIST,Receiving started
6.7701E+13,In transit,120045259,4038137,354859,32,0,0,0,Unknown,CUBIST,Receiving Started
6.7701E+13,In transit,120045234,4056792,10748210,48,0,0,0,Unknown,CUBIST,Receiving started
6.7701E+13,In transit,120045232,4056764,10743934,1,0,0,0,Unknown,CUBIST,Receiving started
6.7701E+13,In transit,120045238,4038109,12741060,97,0,0,0,Unknown,CUBIST,Receiving started
6.7701E+13,In transit,120045272,5038150,354891,78,0,0,0,Unknown,CUBIST,Receiving Started
6.7701E+13,In transit,120045239,4038114,12741080,24,0,0,0,Unknown,CUBIST,Receiving started
6.7701E+13,In transit,120045235,4056796,10748226,20,0,0,0,Unknown,CUBIST,Receiving started
6.7701E+13,In transit,120045232,4056765,10743939,33,0,0,0,Unknown,CUBIST,Receiving started
6.7701E+13,In transit,120045273,5038153,354896,65,0,0,0,Unknown,CUBIST,Receiving Started
6.7701E+13,In transit,120045256,4038126,354818,14,0,0,0,Unknown,CUBIST,Receiving started
6.7701E+13,In transit,120045238,4038110,12741063,90,0,0,0,Unknown,CUBIST,Receiving started
6.7701E+13,In transit,120045273,5038153,354897,62,0,0,0,Unknown,CUBIST,Receiving Started
6.7701E+13,In transit,120045239,4038114,12741078,53,0,0,0,Unknown,CUBIST,Receiving started
6.7701E+13,In transit,120045258,4038134,354853,67,0,0,0,Unknown,CUBIST,Receiving started
6.7701E+13,In transit,120045259,4038139,354863,46,0,0,0,Unknown,CUBIST,Receiving Started
6.7701E+13,In transit,120045256,4038127,354824,71,0,0,0,Unknown,CUBIST,Receiving started
6.7701E+13,In transit,120045259,4038139,354863,93,0,0,0,Unknown,CUBIST,Receiving Started
